Name of Company,Market Cap (in Cr),Quaterly Sales (in Cr)
Reliance Inds.,583436.72,99810.0
TCS,563709.84,30904.0
HDFC Bank,482953.59,20581.27
ITC,320985.27,9772.02
HDFC,289497.37,16840.51
Hind. Unilever,288265.26,8590.0
Maruti Suzuki,263493.81,19283.2
Infosys,248320.35,17794.0
ONGC,239981.5,22995.88
St Bk of India,232763.33,57014.08
ICICI Bank,203802.35,13665.35
Kotak Mah. Bank,199253.77,6390.71
Coal India,192677.98,21643.28
Larsen & Toubro,180860.74,28747.45
IOCL,178017.48,110666.93
Bharti Airtel,167131.29,20318.6
Axis Bank,136380.76,11721.55
NTPC,135390.53,20774.37
Sun Pharma.Inds.,134241.36,6653.23
Hind.Zinc,133266.56,5922.0
Wipro,131840.57,13669.0
HCL Technologies,126335.27,12809.0
Vedanta,122184.17,24361.0
Tata Motors,117071.87,74156.07
UltraTech Cem.,113692.87,8019.24
Asian Paints,108044.04,4260.52
Power Grid Corpn,102016.01,7506.95
BPCL,98278.0,60616.36
IndusInd Bank,97379.96,4286.78
Bajaj Fin.,94476.77,3540.63
Bajaj Auto,88252.6,6369.34
M&M,88142.35,11577.78
HDFC Stand. Life,87358.23,9734.9
Adani Ports,81781.89,2688.85
Bajaj Finserv,79795.11,7665.4
GAIL (India),78670.97,14414.34
Avenue Super.,74066.35,4094.82
Titan Company,73886.0,4274.84
JSW Steel,73870.26,17861.0
Grasim Inds,73532.62,15291.42
Tata Steel,73376.14,32464.14
Eicher Motors,73311.41,2269.01
Nestle India,73015.49,2601.46
Godrej Consumer,71859.82,2630.3
Yes Bank,71028.13,5070.3
Hero Motocorp,69448.66,7305.49
Motherson Sumi,68590.33,14397.85
SBI Life Insuran,67465.0,9569.97
General Insuranc,66316.32,8557.68
Bharti Infra.,61776.92,1137.17
Dabur India,60015.0,1966.44
Bosch,59204.28,3071.92
Shree Cement,58987.08,2296.23
New India Assura,58108.48,5074.02
HPCL,58034.78,57474.25
ICICI Pru Life,57748.98,13555.32
Britannia Inds.,56837.2,2567.48
Tech Mahindra,56244.26,7775.96
Hindalco Inds.,55854.68,11022.81
Zee Entertainmen,54817.89,1838.07
Cairn India,53528.57,2149.36
Indiabulls Hous.,52781.67,3115.89
Ambuja Cem.,52361.46,6170.71
Interglobe Aviat,48621.37,6177.88
Cipla,48577.43,3913.82
Piramal Enterp.,47483.97,2858.36
United Spirits,46725.05,2263.3
Pidilite Inds.,45855.5,1542.9
Siemens,44239.04,2429.5
Cadila Health.,41876.19,3259.6
NMDC,41415.33,2469.03
DLF,40159.35,1693.72
Marico,39813.84,1337.59
Ashok Leyland,39047.57,7113.16
Bharat Electron,37776.23,2512.82
ICICI Lombard,37219.22,2110.99
Lupin,36878.85,3975.62
Petronet LNG,36615.0,7757.06
Aditya Birla Cap,36215.92,3325.02
Dr Reddy's Labs,35893.55,3834.1
Sun TV Network,35824.26,683.28
SAIL,35729.04,15323.65
UPL,35349.58,4194.0
Oracle Fin.Serv.,34620.19,1059.12
Bharat Forge,34397.69,1390.55
Biocon,34347.0,1057.9
BHEL,34162.38,6626.35
Aurobindo Pharma,33676.52,4336.11
Bank of Baroda,33364.23,11303.24
Idea Cellular,33047.33,6509.6
ABB,31983.33,2779.4
Havells India,31798.18,1965.77
Container Corpn.,31450.56,1639.55
TVS Motor Co.,30919.51,3684.95
ACC,30803.68,3494.24
Bajaj Holdings,30305.94,317.85
P & G Hygiene,30202.12,704.16
MRF,30030.01,3798.82
Shriram Trans.,29327.64,3087.67
Colgate-Palm.,9885.05,1137.17
L&T Fin.Holdings,28932.43,2630.17
Punjab Natl.Bank,28270.22,12175.48
NHPC Ltd,28059.24,1497.93
Power Fin.Corpn.,27905.66,6194.77
United Breweries,27797.69,1197.1
Oil India,27404.15,2852.55
Rural Elec.Corp.,27382.24,5498.45
GlaxoSmith C H L,27340.89,1034.67
M & M Fin. Serv.,26928.37,2182.45
Divi's Lab.,26915.86,1037.88
Kansai Nerolac,26409.76,1145.01
Alkem Lab,25957.56,1422.52
LIC Housing Fin.,25880.98,3738.1
Future Retail,25859.25,4693.39
Page Industries,25383.03,621.03
Dalmia Bhar.,25288.97,2090.54
IIFL Holdings,24788.54,1612.14
L & T Infotech,24626.1,1883.8
Aditya Bir. Nuv.,24592.21,4287.12
Emami,23720.37,756.64
Cummins India,23562.0,1354.67
Berger Paints,23537.8,1338.63
Rajesh Exports,23495.54,41304.84
Tata Power Co.,23369.24,6949.91
3M India,23101.19,645.77
Jindal Steel,23094.39,6992.56
Edelweiss.Fin.,22915.42,2069.45
Gillette India,21976.74,407.52
Adani Enterp.,21776.04,9938.37
Adani Transmissi,21677.26,1782.29
Balkrishna Inds,21372.18,1106.31
Cholaman.Inv.&Fn,20832.4,1404.33
Indraprastha Gas,20779.52,1183.9
MRPL,20750.78,14100.98
Glaxosmi. Pharma,20489.35,703.91
PNB Housing,20037.85,1438.49
RBL Bank,19748.79,1150.79
Castrol India,18803.22,970.3
Canara Bank,18590.66,10774.64
GRUH Finance,18535.09,428.47
KIOCL,18534.15,442.81
Voltas,18453.44,1374.67
Godrej Inds.,18298.09,2458.48
Whirlpool India,18254.06,958.01
Sundaram Finance,18159.85,677.23
Federal Bank,18086.81,2501.2
Tata Comm,17963.55,4114.63
Endurance Tech.,9885.05,1137.17
Tata Chemicals,17941.47,2573.91
Exide Inds.,17930.75,2276.54
IDFC Bank,17762.77,2283.72
NBCC,17712.0,1321.5
IDBI Bank,17559.35,5797.2
The Ramco Cement,17246.58,1056.36
Dewan Hsg. Fin.,17097.54,2631.6
MphasiS,16728.78,1660.69
Apollo Hospitals,16683.97,1896.14
Reliance Nip.Lif,16655.58,394.0
Tata Global,16589.24,1730.39
Godrej Propert.,16545.51,627.03
AU Small Finance,16453.67,464.17
Indian Hotels,16150.13,1197.26
Motil.Oswal.Fin.,16108.15,728.63
HUDCO,16065.25,1064.49
Oberoi Realty,16044.51,356.2
Indian Bank,15739.16,4354.22
SJVN,15512.35,436.58
Bank of India,15339.87,9334.84
